Item,Quantity,Estimated Cost (INR),Purchase Link
Arduino UNO,1,₹517.77,https://robu.in/product/arduino-uno-r3/
28BYJ-48 Stepper Motor w/ motor driver,3,₹702,https://www.amazon.in/Robodo-ULN200328BYJ-Stepper-Module-Uln2003/dp/B073Q2N6S7/
Jumper Wires,1,₹319,https://www.amazon.in/IEIDidacticsTM-Jumper-Female-breadboard-jumper/dp/B099R8S3RZ/
Battery 9V,1,₹285,https://www.amazon.in/Duracell-Alkaline-Battery-Duralock-Technology/dp/B014SZPFKW/
Charging Module,1,₹67,https://www.amazon.in/UNIVERSAL-HUB-Lithium-ion-Charging-Indicator/dp/B0BSC6HZVV/
3D printing,7,₹689,From robu
GST,,₹91.02,
Approximation/ miscellaneous,,₹300,
Total Estimated Cost,,₹2970.79,
In USD,,$34.72,
